,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
"Soapstocks, Cottonseed",,,,,3,,D,N,34,177,32,160,Y,57,57,drk brn,,,Be sure to have max. dischaarge temp before
,,,,,,,,,,,,,,,,,,,arrival. In cold water bring temperature even
,,,,,,,,,,,,,,,,,,,higher. Hot wash and Stolt LAC.
"Soapstock, Mixed",,,,,3,,D,N,34,177,46,160,Y,71,71,drk,,,Be sure to have max. dischaarge temp before
,,,,,,,,,,,,,,,,,,,arrival. In cold water bring temperature even
,,,,,,,,,,,,,,,,,,,higher. Hot wash and Stolt LAC. Be sure check
,,,,,,,,,,,,,,,,,,,Sulphuric Acid or Phosphoric Acid content before
,,,,,,,,,,,,,,,,,,,stowing coated tanks. Hot wash and Stolt LAC.
"Soapstock, Palm",,,,,3,,D,N,34,177,37,160,Y,71,71,very drk,,,Be sure to have max. dischaarge temp before
,,,,,,,,,,,,,,,,,,,arrival. In cold water bring temperature even
,,,,,,,,,,,,,,,,,,,higher. Hot wash and Stolt LAC. Be sure check
,,,,,,,,,,,,,,,,,,,Sulphuric Acid content before
,,,,,,,,,,,,,,,,,,,stowing coated tanks. Hot wash and Stolt LAC.
"Soapstock,Pko",,,,,3,,D,N,34,177,37,160,Y,71,71,very drk,,,Be sure to have max. dischaarge temp before
,,,,,,,,,,,,,,,,,,,arrival. In cold water bring temperature even
,,,,,,,,,,,,,,,,,,,higher. Hot wash and Stolt LAC. Be sure check
,,,,,,,,,,,,,,,,,,,Sulphuric Acid content before
,,,,,,,,,,,,,,,,,,,stowing coated tanks. Hot wash and Stolt LAC.
"Soapstock, Soybean",,,,,3,,D,N,34,177,32,160,Y,57,57,drk brn,,,Be sure to have max. dischaarge temp before
,,,,,,,,,,,,,,,,,,,arrival. In cold water bring temperature even
,,,,,,,,,,,,,,,,,,,higher. Hot wash and Stolt LAC.
"Soapstock, Tallow",,,,,3,,D,N,34,177,46,160,Y,71,71,blk,,,Be sure to have max. dischaarge temp before
,,,,,,,,,,,,,,,,,,,arrival. In cold water bring temperature even
,,,,,,,,,,,,,,,,,,,higher. Hot wash and Stolt LAC. Be sure check
,,,,,,,,,,,,,,,,,,,Sulphuric Acid or Phosphoric Acid content before
,,,,,,,,,,,,,,,,,,,stowing coated tanks. Hot wash and Stolt LAC.
Sodium chlorate Solutions 50% or less,,1.300,15,.00200,3,2g,,Y,,170,15,,,,,white,Y,,More info required. Not assigned to any compatbility
,,,,,,,,,,,,,,,,yellow,,,"# but incompatible with #1,2,3,5,7,8,10,12,13,17 "
,,,,,,,,,,,,,,,,,,,and 20. Max allowable conc.= 50% Marpol annexlll.
Sodium creoxides,,,,,,,,,,104,,,Y,,,drk,Y,,Some kind of spent Caustic. Get full specs. each
,,,,,,,,,,,,,,,,,,,time. Handle as Caustic. NOTE: Be aware of flash
,,,,,,,,,,,,,,,,,,, point as  it may contain hydrocarbon with a
,,,,,,,,,,,,,,,,,,,flashpoint less than 50C
Sodium Cresylate,,1.200,15,,3,2g,A,Y,5,100,,,37,N,N,drk,Y,,Also called Cresylic Spent Caustic. Mixture of
,Cresylate spent Caustic soda,,,,,,,,,,,,,,,,,,"Sodium salts of Phenol, Cresol and Xylenol."
,Tar Acid,,,,,,,,,,,,,,,,,,Mandatory prewash. Safety as for Caustic Soda.
Sodium Dichromate 70% or less,,1.720,15,,2,2g,B,Y,,120,367,,,N,N,org/red,Y,,"Higly toxic product, handle with care IMO chapter 6"
,Sodium Bichromate,,,,,,,,,,,,,,,,,,compliance cargo. USCG compatbility # none. but
,,,,,,,,,,,,,,,,,,,"Incompatible with groups 1,2,3,5,7,8,10,12,13,17 and"
,,,,,,,,,,,,,,,,,,,20. Stow SS. Clean with ambient water for 2.3 h vent.
Sodium Dimethyl Naphtalene Sulf sol,,,,,3,,,N,34,,,,,,,,,,More info required. Not compatible with #12 and
,,,,,,,,,,,,,,,,,,,strong oxiding agents. Not listed IMO
Sodium hydrosulfide (45 % or less),,1.303,15,,3,2g,B,Y,5,125,16,,38,Y,Y,yellow,Y,2949,Toxic and corrosive product. May require  heating
,,,,,,,,,,,,,,,,,,,get instructions. Shoretank may have blanket of
,Sodium Sulfide,,,,,,,,,,,,,,,,,,"fueloil. check. Clean with warm water, if fueloil"
,,,,,,,,,,,,,,,,,,,blanket in shoretank some may have entered shiptk
,,,,,,,,,,,,,,,,,,,use Stolt A or B. This specification is foe 45% solut.
,,,,,,,,,,,,,,,,,,,Sodium Hydrosulfide i compatible with Methanol.
Sodium Hydrosulfide/Ammonium Sulfide Mix,,!.282,15,.00040,2,2g,B,Y,5,,-18,100,N,N,N,green,Y,,"Cooling required. Vapour pressure@  37,8=1385mm"
,,,,,,,,,,,,,,,,yellow,,,"zinc no good. Product toxic, avoid breating vapor"
,KI-301 Depressant,,,,,,,,,,,,,,,,,,"Composition this spec 41,3% Sodium Hydrosulfide"
,,,,,,,,,,,,,,,,,,,"3,7% Ammonium Sulfide 55% Water. Clean with"
,,,,,,,,,,,,,,,,,,,"ambient water, ventilate."
Sodium Hypochlorite Solution,,1.220,,,3,2g,B,Y,5,,,,,,,green,Y,1791,"ww standard, max concentration allowable 15%."
,Liquid Bleach,,,,,,,,,,,,,,,yellow,,,"Clean with ambient temp water, steam and ventilate"
,Clorox,,,,,,,,,,,,,,,,,,
Sodium Mercaptobenzothiazole,,1.250,20,.00200,3,2g,,Y,5,107,,,Y,N,N,lt.brn,Y,,"Strong alkaline solution, dobthfoll if any coating"
,,,,,,,,,,,,,,,,,,,suitable. OWL has carried in SS. Clean with warm
,,,,,,,,,,,,,,,,,,,"water, ventilate Notassessed for pollution."
Sodium Naphthalene Sulfonate sol 40%,,1.200,20,,3,2g,,Y,34,110,-4,,Y,Y,Y,brn,50%,,Get heating instructions. Cgo temp not below 10C
,,,,,,,,,,,,,,,,,,,Warm wash Use Stolt A or B for final cleaning
,Naphthalene Sulfonate Beta Shf,,,,,,,,,,,,,,,,,,Not yet included in IMO codeBut USCG has classif.
,Beta shf,,,,,,,,,,,,,,,,,,As ref cargo Methylene Chloride with addition of
,,,,,,,,,,,,,,,,,,,special requirements 4.12.1 Not yet assessed for 
,,,,,,,,,,,,,,,,,,,polution.
Sodium Phosphate Tribasic,,1.300,,,,,,,,100,,,Y,66,79,ww,,,"Get specs, Get instructions. Not yet classified for"
,TSP,,,,,,,,,,,,,,,,,,shipment. More infos needed before issuing 
,Trisodium Orthophosphate,,,,,,,,,,,,,,,,,,"handling,  Cleaning instructions."
,Sodium Orthophosphate,,,,,,,,,,,,,,,,,,
Sodium Silicate,,1.400,,,3,,D,N,43,100,-1,,N,N,N,clear,Y,,ww Standard. May require heating in cold climate.
,Water Glass,,,,,,,,,,,,,,,,,,Never go below +5C Max temp 50C. Use only
,Soluble Glass,,,,,,,,,,,,,,,,,,fresh water for cleaning.
Sodium Thiocyanate 56% or less,,1.300,20,,3,2g,B,Y,,122,15,110,Y,Y,Y,ww,Y,,"Toxic. SSstow time beeing, coating must tested"
,Sodium Thiocyanate,,,,,,,,,,,,,,,,,,SS must be dry and clean. May require heating 
,Sodium rhodanide,,,,,,,,,,,,,,,,,,"in cold climate, check. No compatibility # but "
,Rhodanide,,,,,,,,,,,,,,,,,,"Incompatible with # 1,2,3 and 4. Clean with warm "
,,,,,,,,,,,,,,,,,,,water vent. Solution contains ca 44% Water.
Sodium-N-Methyldithiocarbonate 33% sol,,1.220,20,,3,2g,B,Y,,100,5,,Y,N,N,amber,Y,,"Toxic Product. Easy to handle, may require some "
,,,,,,,,,,,,,,,,,,,"heat in cold climate. Not listed in resistancy lists,"
,Metam Sodium,,,,,,,,,,,,,,,,,,"but all coatings should be ok. however, Carbo zinc"
,Metam Fluid 510 GL/L,,,,,,,,,,,,,,,,,,11 not  tested. Have been carried in D-4 whitout
,,,,,,,,,,,,,,,,,,,"problem. Clean with warm water, ventilate."
Softanol 120,,1.020,20,.00062,3,,D,N,20,204,-17,110,68,38,38,clear,N,,"ww standard, color sensative N2 recommended."
,Detergent Alcohols,,,,,,,,,,,,,,,,,,Cold wash for unheated grades. Warm wash
,Nonionic Surfactant,,,,,,,,,,,,,,,,,,for heated grades.
Softanol 30,,.930,20,.0006,3,,D,N,20,204,,82,38,N,N,clear,N,,"ww standard, color sensative N2 recommended."
,Detergent Alcohols,,,,,,,,,,,,,,,,,,Cold wash for unheated grades. Warm wash
,Nonionic Surfactant,,,,,,,,,,,,,,,,,,for heated grades.
Softanol 50,,.950,20,.00060,3,,D,N,20,204,,88,38,N,N,clear,N,,"ww standard, color sensative N2 recommended."
,Detergent Alcohols,,,,,,,,,,,,,,,,,,Cold wash for unheated grades. Warm wash
,Nonionic Surfactant,,,,,,,,,,,,,,,,,,for heated grades.
Softanol 70,,.980,20,.00060,3,,D,N,20,204,.9,93,38,N,N,clear,N,,"ww standard, color sensative N2 recommended."
,Detergent Alcohols,,,,,,,,,,,,,,,,,,Cold wash for unheated grades. Warm wash
,Nonionic Surfactant,,,,,,,,,,,,,,,,,,for heated grades.
Softanol 90,,1.000,20,.00060,3,,D,N,20,204,-5,99,49,27,27,clear,N,,"ww standard, color sensative N2 recommended."
,Detergent Alcohols,,,,,,,,,,,,,,,,,,Cold wash for unheated grades. Warm wash
,Nonionic Surfactant,,,,,,,,,,,,,,,,,,for heated grades.
Solvent Heavy Hydroformate,,.880,15,,3,,N,N,33,121,,32,38,N,N,ww,N,,Handle as a HAN. Cold wash
,Naphtha Solvent Exxon,,,,,,,,,,,,,,,,,,Marpol annex 1.
Solvesso R-150 (Exxon),,.890,,,3,,,N,33,182,,65,Y,38,38,,,,
,Exxon Solvesso R-150,,,,,,,,,,,,,,,,,,
,Aromatic R-150,,,,,,,,,,,,,,,,,,
Solvesso 100 (Exxon),,.870,15,.00080,3,,B,N,33,155,,42,Y,N,N,ww,N,,Mineral spirit from Exxon. ww standard. Easy 
,Exxon Solvesso 100,,,,,,,,,,,,,,,,,,product. Low Heat Ok adjacent. Clean with ambient
,"Aromatic 100, Exxon",,,,,,,,,,,,,,,,,,temp water ventilate. Pollution category may change
Solvesso 150 (Exxon),,.900,15,.00080,3,,B,N,33,183,,66,Y,N,N,ww,N,,Mineral spirit from Exxon. ww standard. Easy 
,Exxon Solvesso 150,,,,,,,,,,,,,,,,,,product. Low Heat Ok adjacent. Clean with ambient
,"Aromatic 150, Exxon",,,,,,,,,,,,,,,,,,temp water ventilate. Pollution category may change
Solvesso 200 (Exxon),,.984,15,.00080,3,,B,N,33,226,,100,Y,N,N,pale,N,,Mineral spirit from Exxon. ww standard. Easy 
,Exxon Solvesso 200,,,,,,,,,,,,,,,straw,,,product. Low Heat Ok adjacent. Clean with ambient
,"Aromatic 200, Exxon",,,,,,,,,,,,,,,,,,temp water ventilate. Pollution category may change
Sorbitol 70% Solution,,1.490,15,.00060,3,,N,N,20,,110,283,Y,32,38,c.less,Y,,Very clean an odorless tank required. Sweetner
,Glucitol-o,,,,,,,,,,,,,,,,,,for various products such as chewing gum.
,Hexahydric Alcohol,,,,,,,,,,,,,,,,,,toothpaste etc.) Check P.H. and heat requierments
,"Hexanehexol-1,2,3,4,5,6",,,,,,,,,,,,,,,,,,Heat carfully. Hot wash. Marpol annex lll.
,Sorbit,,,,,,,,,,,,,,,,,,
,Sorbo,,,,,,,,,,,,,,,,,,
,Sorbol,,,,,,,,,,,,,,,,,,
Soybean Oil,,.922,20,.00075,3,,D,N,34,260,-8,282,38,N,10,pale,N,,Drying oil. Different grades: Refined Special.
,Soybean Oil Common,,,,,,,,,,,,,,,yellow,,,Common and crude. Check FFA Normally below
,Soy Bean Oil Special,,,,,,,,,,,,,,,,,,"2,5% but check if stow zinc. Heating for discharge "
,Soybean  Oil Crude,,,,,,,,,,,,,,,,,,"may be required, max 25C. Cold wash immediatly"
,Common Soybean Oil,,,,,,,,,,,,,,,,,,after discharge followed by warm and Stolt C
,Crude Soybean Oil,,,,,,,,,,,,,,,,,,Either by injection or circulation.
,Special Soybean OIl,,,,,,,,,,,,,,,,,,
,Refined Soybean Oil,,,,,,,,,,,,,,,,,,
,SBO Common,,,,,,,,,,,,,,,,,,
,SBO,,,,,,,,,,,,,,,,,,
,SBO Special,,,,,,,,,,,,,,,,,,
,SBO Refined,,,,,,,,,,,,,,,,,,
,SBO Crude,,,,,,,,,,,,,,,,,,
Spent Caustic Soda Sulfur Free,,1.480,,.00070,3,2g,D,Y,5,140,5,,Y,N,N,milky,Y,,Get full spec. Be sure free of Sulphur if stow coated
,,,,,,,,,,,,,,,,white,,,tanks. Handle and clean as regular caustic.
,,,,,,,,,,,,,,,,,,,May requir heating in cold climate
Sperm Oil Crude & Refined,,.870,32,.00075,3,,D,N,34,260,4,220,54,Y,Y,lt yellow,N,,Get spec. and heating instructions. check FFA if
,,,,,,,,,,,,,,,,,,,stowing zinc. Heat slowly max 5F day. Unlawful to
,,,,,,,,,,,,,,,,,,,carry waleoils to and thru US ports. Hot wash 
,,,,,,,,,,,,,,,,,,,and use Stolt C for Spots.
Sperm OIl Residue,,.840,49,.00075,3,,D,N,34,260,27,177,Y,49,54,light,N,,Get spec. and heating instructions
,Sperm Oil Pressings,,,,,,,,,,,,,,,,,,Handle as normal sperm oil
Stearic Acid Crude,,.840,,.00070,3,,D,N,4,343,71,196,Y,57,71,white,N,,Disch temp should be reached 2 days before disch
,Heptadecane Carboxylic Acid,,,,,,,,,,,,,,,,,,port. Recirculation may be necessary if insuffient
,Octadecanoic  Acid,,,,,,,,,,,,,,,,,,heating during voyage Cleaning: Hot wash 
,Octadecylic Acid-n,,,,,,,,,,,,,,,,,,Immediatly after disch (5 hrs). Spray w Stolt LAC
,Stearophanic Acid,,,,,,,,,,,,,,,,,,"Leave approx for 1 hr, hot wash"
Stearic Acid Pure,,.840,,.00070,3,,D,N,4,343,71,196,Y,82,82,white,,,Many different specs check. Obtain heating instruct.
,,,,,,,,,,,,,,,,,,,Cleaning: Hot wash Immediatly after disch (5 hrs).
,,,,,,,,,,,,,,,,,,,"Spray w Stolt LAC Leave approx for 1 hr, hot wash"
Stearyl Alcohol,,.810,,.00070,3,,B,N,20,210,139,,Y,77,77,White,N,,Fine grade  Fatty Alcohol. Get heating instructions.
,,,,,,,,,,,,,,,,to ww,,,Color sensative . Hot Wash.
Styrene Monomer (Inhibited),,.909,15,.00089,3,2g,B,Y,30,145,-31,32,N,N,N,ww,N,2055,Inhibited. Do not stow adjacent to heat. DOW
,Vinyl Benzene,,,,,,,,,,,,,,,,,,allows max. Heat adjacent 30C Clean with cold
,Phenylethylene,,,,,,,,,,,,,,,,,,"water immediatly after discharge, Then"
,Styrol,,,,,,,,,,,,,,,,,,warm water and steam.
,Styrolene,,,,,,,,,,,,,,,,,,
Styrene Oxide,,1.050,,,,,,,,194,,82,N,N,N,ww,N,,Most probably inhibited. Check. Avoid heat and 
,,,,,,,,,,,,,,,,,,,moisture. Handle and clean as Styrene Monomer.
Sulfolane Aqueous,,1.258,20,,3,,N,N,39,285,4,177,38,21,27,d.yellow,Y,,"ww standard, easy product. May require some heat"
,Sulfolane-w,,,,,,,,,,,,,,,,,,check. Clean with warm water Marpol annex 3.
,Tetrahydrothiophene-1,,,,,,,,,,,,,,,,,,
,Dioxide-1,,,,,,,,,,,,,,,,,,
,Tetramethylene Sulfone,,,,,,,,,,,,,,,,,,
Sulfolane Pure,,1.250,20,,3,,N,N,39,285,27,177,38,32,35,d.yellow,Y,,Get heatinh instructions. Hot wash. Marpol annex 3
,Sulfolane-w,,,,,,,,,,,,,,,,,,
,Tetrahydrothiophene-1,,,,,,,,,,,,,,,,,,
,Dioxide-1,,,,,,,,,,,,,,,,,,
,Tetramethylene Sulfone,,,,,,,,,,,,,,,,,,
Sulfonic Acid,,1.050,,,,,,,39,,,,49,,,brown,Y,,Get spec. and heating requirements. Most probably
,Gardilene SA 96,,,,,,,,,,,,,,,,,,external heating. May be a problem in SS if water 
,,,,,,,,,,,,,,,,,,,present. Avesta reports corrosion attacks if 100ppm
,,,,,,,,,,,,,,,,,,,water. Not listed by IMO.
Sulfonic Alkylate,,.950,,,3,,C,N,,,21,150,Y,66,66,d.brown,Y,,Get spec. and heating requirements.
,,,,,,,,,,,,,,,,,,, Viscosity very high. Exxon requires external or
,,,,,,,,,,,,,,,,,,,thermal oil heating. Difficult product.
,,,,,,,,,,,,,,,,,,,Clean as for lube Additives
Sulfur Liquid,,1.800,,,3,1g,N,Y,,445,119,168,,,,N,,,
,Brimstone Liquid,,,,,,,,,,,,,,,,,,
Sulphuric Acid (Spent) 88/92%,,1.780,15,.00097,3,2g,C,Y,2,315,10,,38,N,N,d.brn,Y,1832,Consult SS manufacturers resistancy list before
,Sulphuric Acid Diluted,,,,,,,,,,,,,,,,,,booking. Handle and clean as per SNI handling
,,,,,,,,,,,,,,,,,,,manual for Sulphuric Acid.
Sulphuric Acid Solution 100%,,1.840,,,3,2g,C,Y,2,315,10,,38,,,clear-,Y,1830,Check grade. Consult SNI cleaning manual.
,Oil of vitriol,,,,,,,,,,,,,,,drk brn,,,Special handling - see Operation manual.
,Battery Acid,,,,,,,,,,,,,,,,,,
,Fertilizer Acid,,,,,,,,,,,,,,,,,,
,Chamber Acid,,,,,,,,,,,,,,,,,,
"Sulphuric Acid Solution 98-98,5%",,1.840,15,.00097,3,2g,C,Y,2,315,,,N,N,N,clear,Y,1830,Consult SS manufacturers resistancy list before
,,,,,,,,,,,,,,,,drk.brn,,,booking. Handle and clean as per SNI handling
,,,,,,,,,,,,,,,,,,,manual for Sulphuric Acid.
"Sulphuric Acid Solution 98-99,5%",,1.840,15,.00097,3,2g,C,Y,2,315,4,,N,N,N,clear,Y,1830,This grade freezes at apporx +5C. 
,,,,,,,,,,,,,,,,drk.brn,,,Consult SS manufacturers resistancy list before
,,,,,,,,,,,,,,,,,,,booking. Handle and clean as per SNI handling
,,,,,,,,,,,,,,,,,,,manual for Sulphuric Acid.
Sulphuric Acid 65%,,1.550,15,.00097,3,2g,C,Y,2,315,-40,,N,N,N,clear,Y,1830,Consult SS manufacturers resistancy list before
,,,,,,,,,,,,,,,,drk.brn,,,booking. Handle and clean as per SNI handling
,,,,,,,,,,,,,,,,,,,manual for Sulphuric Acid.
Sulphuric Acid 75%,,1.670,15,.00097,3,2g,C,Y,2,315,-44,,N,N,N,clear,Y,1830,Consult SS manufacturers resistancy list before
,,,,,,,,,,,,,,,,drk.brn,,,booking. Handle and clean as per SNI handling
,,,,,,,,,,,,,,,,,,,manual for Sulphuric Acid.
Sulphuric Acid 93%,,1.840,15,.00097,3,2g,C,Y,2,315,-32,,N,N,N,clear,Y,1830,Consult SS manufacturers resistancy list before
,,,,,,,,,,,,,,,,drk.brn,,,booking. Handle and clean as per SNI handling
,,,,,,,,,,,,,,,,,,,manual for Sulphuric Acid.
Sulphuric Acid 95%,,1.840,15,.00097,3,2g,C,Y,2,315,-22,,N,N,N,clear,Y,1830,Consult SS manufacturers resistancy list before
,,,,,,,,,,,,,,,,drk.brn,,,booking. Handle and clean as per SNI handling
,,,,,,,,,,,,,,,,,,,manual for Sulphuric Acid.
Sulphuric Acid 96%,,1.840,15,.00097,3,2g,C,Y,2,315,-18,,N,N,N,clear,Y,1830,Consult SS manufacturers resistancy list before
,,,,,,,,,,,,,,,,drk.brn,,,booking. Handle and clean as per SNI handling
,,,,,,,,,,,,,,,,,,,manual for Sulphuric Acid.
Sulphuric Acid 98%,,1.840,15,.00097,3,2g,C,Y,2,315,-1,,N,N,N,clear,Y,1830,Consult SS manufacturers resistancy list before
,,,,,,,,,,,,,,,,drk.brn,,,booking. Handle and clean as per SNI handling
,,,,,,,,,,,,,,,,,,,manual for Sulphuric Acid.
Sunflower Oil Crude,,.920,15,.00080,3,,D,N,34,204,-18,160,49,26,26,ple,N,,Get specs. and heating instructions. Check FFA
,Semi drying Oil,,,,,,,,,,,,,,,yellow,,,if stowing Zinc. Handle as drying Oils.
,Sunfloweroil Common,,,,,,,,,,,,,,,,,,
,Sunflower oil Common,,,,,,,,,,,,,,,,,,
,Sunfloweroil Crude,,,,,,,,,,,,,,,,,,
,Sunflower Oil,,,,,,,,,,,,,,,,,,
,Suflowerseed oil,,,,,,,,,,,,,,,,,,
,SFO,,,,,,,,,,,,,,,,,,
,SFO Crude,,,,,,,,,,,,,,,,,,
,SFO Common,,,,,,,,,,,,,,,,,,
Sulfonic N-95,,1.060,20,.00078,3,,D,N,20,204,4,204,49,16,16,white,Y,,A fine detergent alcohol. ww standard. Get heating
,Ethoxylated Linear Alcohol,,,,,,,,,,,,,,,,,,instructions. Temperature increase max. %F/day.
,Detergent Alcohol 100%,,,,,,,,,,,,,,,,,,Clean with warm water. If lots of foam Use MEOH
,,,,,,,,,,,,,,,,,,,as foam depressant.
Synprol (C-13 & C-15),,.830,20,.00075,3,,B,N,20,204,7,93,49,15,27,ww,N,,A fine fatty alcohol. Get Heating instructions.
,,,,,,,,,,,,,,,,,,,Color sensative for heat. Max temp increase 5F/d.
,,,,,,,,,,,,,,,,,,,ww standard Hot Wash.
Synthetic Detergents,,1.200,,,3,,,N,34,104,,,71,16,27,d.yellow,Y,,ww standard. Get Heating instructions Warm wash.
,Petro Ag Special,,,,,,,,,,,,,,,,,,
,Alkyl Naphtalene,,,,,,,,,,,,,,,,,,
,Sulfonate Sodium Salt,,,,,,,,,,,,,,,,,,
Tall Oil Crude,,.950,48,,3,2g,B,Y,34,182,21,182,Y,37,60,d.brn,N,,"check gravity. Heating is important, Keep 55C"
,Tallol,,,,,,,,,,,,,,,,,,during voyage. Check for sediments prior arrival
,Liquid Resin,,,,,,,,,,,,,,,,,,recirculation may be required. Conssult SNI manual
,,,,,,,,,,,,,,,,,,,for cleaning. Some countries handle this as a Cat A.
Tall Oil Distilled,,.953,25,,3,2g,B,Y,34,165,4,148,60,37,40,l.yellow,N,,Check gravity. Get heating instructions. Some 
,Westvaco M-288,,,,,,,,,,,,,,,,,,Product may require SS stowage. 
,,,,,,,,,,,,,,,,,,,Hot wash and Stolt C or LAC.
"Tall oil Fatty Acid, Arizona ""FAX""",,.900,25,,3,,C,Y,34,232,,193,48,N,N,pale,N,,Always get spec and heating instructions. ww
,,,,,,,,,,,,,,,,,,,standard. Color sensative re: heat. 
,,,,,,,,,,,,,,,,,,,"Hot wash, spot clean with Stolt C or Stolt LAC"
"Tall oil Fatty Acid, Union Camp",,.900,25,,3,2g,C,Y,34,232,1,193,48,,,lem.ple,N,,Always get spec and heating instructions. ww
,,,,,,,,,,,,,,,,,,,standard. Color sensative re: heat. 
,,,,,,,,,,,,,,,,,,,"Hot wash, spot clean with Stolt C or Stolt LAC"
"Tall Oil Fatty Acid, Westvaco, Savannah",,.910,25,,3,2g,C,Y,34,232,,190,37,N,N,l.yellow,N,,Always get spec and heating instructions. ww
,Westvaco L-5,,,,,,,,,,,,,,,,,,standard. Color sensative re: heat. 
,,,,,,,,,,,,,,,,,,,"Hot wash, spot clean with Stolt C or Stolt LAC"
Tall Oil Pitch,,1.020,77,,3,,A,N,34,329,86,495,Y,140,180,dk.brn,,,Get spec. and heating instruction each time.
,,,,,,,,,,,,,,,,,,,Handling and cleaning as per Stolt manual.
,,,,,,,,,,,,,,,,,,,Not listed by IMO.
Tallow,,.890,,,3,,D,N,34,204,21,260,Y,,54,white to,N,,Get spec. and heating instruction each time.
,Tallow oil,,,,,,,,,,,,,,,drk.brn,,,FFA. varies re: grade. Hot wash and Stolt C.
"Tallow Fatty Acid, #153 (95) Ex Emery",,.860,50,,3,,D,N,34,204,29,160,Y,37,60,Pale,N,,Get spec. and heating instruction each time.
,,,,,,,,,,,,,,,,,,,Hot wash and Stolt C or LAC.
"Tallow Fatty Acid, Dist Emersol E531",,,,,3,,D,N,34,,,,,,,,N,,Get specs. and heating instructions.
,,,,,,,,,,,,,,,,,,,Hot wash and Stolt C or Stolt LAC.
"Tallow Fatty Acid, Refined EX P&G",,.920,50,,3,,D,N,34,204,32,148,Y,40,54,pale,N,,Get specs. and heating instructions.
,,,,,,,,,,,,,,,,,,,Hot wash and Stolt C or Stolt LAC.
Tallow Fatty Alcohol TA 1618,,.784,60,,3,2g,B,Y,34,176,52,160,Y,Y,57,white,N,,ww standard. Handle with care. Get specs. and
,Higher Fatty Alcohol,,,,,,,,,,,,,,,,,,heating instructions. Hot wash. Stolt C for spots.
,Stearyl Alcohol Crude,,,,,,,,,,,,,,,,,,Pollution cat. may not be correct.
,Cetyl Alcohol P&G,,,,,,,,,,,,,,,,,,
Tallow Nitrile,,.846,25,,,,,N,37,279,10,171,48,N,N,yellow,,,Get specs and heating instructions. Check FFA if 
,Fatty Nitrile,,,,,,,,,,,,,,,brn,,,stowing zinc Hot wash. Stolt C for spots.
,,,,,,,,,,,,,,,,,,,Not listed by IMO.
Tallow refined white,,.880,,,3,,D,N,34,204,7,187,60,26,26,white,N,,Get specs and heating instructions
,,,,,,,,,,,,,,,,,,,"Color sensative , re: heat. ww standard. odor free."
,,,,,,,,,,,,,,,,,,,Hot wash Stolt C for spots.
Tallow refined Yellow,,.890,,,3,,D,N,34,204,7,187,48,16,16,yellow,N,,Get specs and heating instructions
,,,,,,,,,,,,,,,,,,,"Color sensative , re: heat. ww standard. odor free."
,,,,,,,,,,,,,,,,,,,Hot wash Stolt C for spots.
Tallow Stearine,,.900,37,,3,,D,N,34,204,43,158,Y,60,80,pale,N,,Get specs and heating instructions. Check FFA if 
,Oleo Stearine,,,,,,,,,,,,,,,,,,"stowing zinc Hot wash, applay live steam."
,,,,,,,,,,,,,,,,,,,Stolt C for Spots
Tar Acid,,1.000,,,2,2g,A,Y,21,,,,,N,N,drk,N,,Several grades Check. Tpxic product as it contains
,,,,,,,,,,,,,,,,blk,,,"Phenol, Creosols, etc. Expect difficulty cleaning."
,,,,,,,,,,,,,,,,,,,similar to Creosols
Tar liquid,,1.400,20,,,,,N,21,,,60,,,,blk,,,get full specs.
,Tar Residue,,,,,,,,,,,,,,,,,,
Tergitol 15-S-03,,.920,20,.00080,3,,D,N,20,176,-32,187,48,N,N,white to,,,Get spec.(Grade). and heating instructions.
,,,,,,,,,,,,,,,,ww,,,Check PH if stowin zinc. ww standard. Hot wash.
Tergitol 15-S-07,,.990,20,.00080,3,,D,N,20,176,6,187,48,21,21,white to,,,Get spec.(Grade). and heating instructions.
,,,,,,,,,,,,,,,,ww,,,Check PH if stowin zinc. ww standard. Hot wash.
Tergitol 15-S-09,,1.000,20,.00080,3,,D,N,20,176,12,187,48,26,32,white to,,,Get spec.(Grade). and heating instructions.
,,,,,,,,,,,,,,,,ww,,,Check PH if stowin zinc. ww standard. Hot wash.
Tergitol 15-S-12,,1.000,20,.00080,3,,D,N,20,176,17,187,48,32,37,white to,,,Get spec.(Grade). and heating instructions.
,,,,,,,,,,,,,,,,ww,,,Check PH if stowin zinc. ww standard. Hot wash.
Tergitol 45-S-03,,.910,20,.00080,3,,D,N,20,176,,187,48,N,N,white to,,,Get spec.(Grade). and heating instructions.
,,,,,,,,,,,,,,,,ww,,,Check PH if stowin zinc. ww standard. Hot wash.
Terpineneol 350,,.940,25,.00078,3,,,N,20,215,,26,37,N,N,ww,sli,,ww standard . Warm wash. Avoid heat adjacent
,Terpineol-a,,,,,,,,,,,,,,,,,,"Similar to Decanol, may be a cat B"
,Terpineol-b,,,,,,,,,,,,,,,,,,
,Terpineol-g,,,,,,,,,,,,,,,,,,
,Terpilenol,,,,,,,,,,,,,,,,,,
"Tetrachloroethane-1,1,2,2",,1.950,25,.00170,3,2g,B,Y,36,146,-42,,N,N,N,clear,sli,1702,ww standard. warm wash .
